Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2024 Fall,UGRD,UGRD,Diana,Anda,,ARCH,1341,002,20,10,0,0,0,0,0,0,0,0,0,30
2023 - 2024,2024 Fall,UGRD,UGRD,Diana,Anda,,ARCH,2341,002,8,7,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Letora,Anderson,,UDES,2442,001,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Brandi,Andrade,,THEA,3302,003,7,6,0,0,0,0,0,0,0,0,0,13
2023 - 2024,2024 Fall,UGRD,UGRD,Melonie,Ankerholz,,NURS,4350,778,0,0,0,0,0,0,7,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5121,001,12,13,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5221,001,25,0,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5235,001,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5239,003,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Sara,Aoki,,ARCH,3553,006,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Marika,Apostolova,,CSE,1320,002,16,0,11,6,0,0,0,0,0,0,0,33
2023 - 2024,2024 Fall,UGRD,UGRD,Marika,Apostolova,,CSE,1320,005,7,16,7,0,10,0,0,0,6,0,0,46
2023 - 2024,2024 Fall,UGRD,UGRD,Marika,Apostolova,,CSE,1325,005,24,28,22,0,0,0,0,0,0,0,0,74
2023 - 2024,2024 Fall,UGRD,UGRD,Marika,Apostolova,,CSE,1325,006,16,36,20,0,0,0,0,0,0,0,0,72
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,3349,001,11,0,0,0,0,0,0,0,0,0,0,11
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,CRCJ,3370,003,59,18,0,0,0,0,0,0,0,0,0,77
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,3446,001,65,58,28,0,0,0,0,0,11,0,0,162
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,4352,001,37,0,0,0,0,0,0,0,0,0,0,37
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,4355,001,12,0,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,4379,043,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Xavier,Aranda,,BIOL,4388,043,16,0,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Fall,UGRD,UGRD,David,Arditi,,SOCI,1310,003,24,55,25,0,7,0,0,0,0,0,0,111
2023 - 2024,2024 Fall,UGRD,UGRD,David,Arditi,,SOCI,3373,001,16,8,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,David,Arena,,MANA,3318,001,29,100,55,15,0,0,0,0,7,0,0,206
2023 - 2024,2024 Fall,UGRD,UGRD,David,Arena,,MANA,3318,002,18,114,59,7,0,0,0,0,0,0,0,198
2023 - 2024,2024 Fall,GRAD,GRAD,David,Arena,,MANA,5360,001,26,14,0,0,0,0,0,0,0,0,0,40
2023 - 2024,2024 Fall,UGRD,UGRD,Karla,Arenas-Itotia,,SOCW,3314,002,16,7,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,GRAD,GRAD,Karla,Arenas-Itotia,,SOCW,5304,002,26,0,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,GRAD,GRAD,Karla,Arenas-Itotia,,SOCW,5314,005,25,0,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,GRAD,GRAD,Karla,Arenas-Itotia,,SOCW,5314,008,23,0,0,0,0,0,0,0,0,0,0,23
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,1311,001,58,7,0,0,0,0,0,0,0,0,0,65
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,1311,002,24,0,0,0,0,0,0,0,0,0,0,24
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,2331,001,20,0,0,0,0,0,0,0,0,0,0,20
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,2331,101,17,0,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,4351,001,48,8,0,0,0,0,0,0,0,0,0,56
2023 - 2024,2024 Fall,UGRD,UGRD,Madhuri,Arjun,,CM,4357,001,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,GRAD,GRAD,Daniel,Armstrong,,CHEM,5325,001,0,8,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Ramya,Aroul,,FINA,3311,001,10,23,25,0,0,0,0,0,6,0,0,64
2023 - 2024,2024 Fall,UGRD,UGRD,Olivia,Arroyo,,ENGL,1302,030,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,UGRD,UGRD,Olivia,Arroyo,,ENGL,1375,002,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Olivia,Arroyo,,ENGL,1375,007,12,0,0,0,0,0,0,0,0,0,0,12
2023 - 2024,2024 Fall,UGRD,UGRD,Olivia,Arroyo,,ENGL,2303,006,27,0,0,0,0,0,0,0,0,0,0,27
2023 - 2024,2024 Fall,UGRD,UGRD,Heather,Arterburn,,BIOL,2458,500,13,38,29,9,11,0,0,0,15,0,0,115
2023 - 2024,2024 Fall,UGRD,UGRD,Heather,Arterburn,,BIOL,3427,001,25,25,29,10,0,0,0,0,0,0,0,89
2023 - 2024,2024 Fall,UGRD,UGRD,Heather,Arterburn,,BIOL,4388,001,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Heather,Arterburn,,BIOL,4388,015,17,0,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Kapil,Aryal,,MAE,1107,005,32,0,0,0,0,0,0,0,0,0,0,32
2023 - 2024,2024 Fall,UGRD,UGRD,Kapil,Aryal,,MAE,1140,005,13,14,16,6,8,0,0,0,0,0,0,57
2023 - 2024,2024 Fall,UGRD,UGRD,Kapil,Aryal,,MAE,1312,003,0,11,11,7,6,0,0,0,0,0,0,35
2023 - 2024,2024 Fall,UGRD,UGRD,Kapil,Aryal,,MAE,4321,001,11,19,0,0,0,0,0,0,0,0,0,30
2023 - 2024,2024 Fall,UGRD,UGRD,Warda,Ashraf,,CE,2311,001,29,0,7,0,0,0,0,0,0,0,0,36
2023 - 2024,2024 Fall,UGRD,UGRD,Kathy,Aslin,,UNIV-BU,1131,001,21,0,7,0,0,0,0,0,0,0,0,28
2023 - 2024,2024 Fall,GRAD,GRAD,Daniel,Atambo,,CE,5340,001,17,0,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,GRAD,GRAD,Daniel,Atambo,,CM,5340,001,31,0,0,0,0,0,0,0,0,0,0,31
2023 - 2024,2024 Fall,GRAD,GRAD,Daniel,Atambo,,CM,5340,101,17,0,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Vassilis,Athitsos,,CSE,4309,001,14,30,12,0,0,0,0,0,0,0,0,56
2023 - 2024,2024 Fall,UGRD,UGRD,Rasha,Atieh,,POLS,2311,006,93,35,7,0,6,0,0,0,0,0,0,141
2023 - 2024,2024 Fall,UGRD,UGRD,Christopher,Atkins,,ENGL,100,CO25,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Christopher,Atkins,,ENGL,100,CO70,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Christopher,Atkins,,ENGL,1301,021,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Amy,Austin,,SPAN,3309,001,25,0,0,0,0,0,0,0,0,0,0,25
2023 - 2024,2024 Fall,UGRD,UGRD,Amy,Austin,,SPAN,3311,001,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Austin,,HIST,1301,001,18,8,0,0,0,0,0,0,0,0,0,26
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Austin,,HIST,1301,007,73,40,15,6,0,0,0,0,0,0,0,134
2023 - 2024,2024 Fall,UGRD,UGRD,Angela,Austin,,HIST,1301,019,25,14,0,0,0,0,0,0,0,0,0,39
2023 - 2024,2024 Fall,UGRD,UGRD,Erin,Austin,,PSYC,3310,002,91,81,32,11,7,0,0,0,0,0,0,222
2023 - 2024,2024 Fall,UGRD,UGRD,Erin,Austin,,PSYC,3310,700,96,12,0,0,0,0,0,0,0,0,0,108
2023 - 2024,2024 Fall,UGRD,UGRD,Erin,Austin,,PSYC,3310,701,104,24,0,0,0,0,0,0,0,0,0,128
2023 - 2024,2024 Fall,GRAD,GRAD,Erin,Austin,,PSYC,5405,001,10,9,0,0,0,0,0,0,0,0,0,19
2023 - 2024,2024 Fall,UGRD,UGRD,Jeffrey,Austin,,ACCT,2301,002,15,19,16,0,0,0,0,0,0,0,0,50
2023 - 2024,2024 Fall,UGRD,UGRD,Jeffrey,Austin,,ACCT,2301,006,10,21,10,12,0,0,0,0,0,0,0,53
2023 - 2024,2024 Fall,GRAD,GRAD,Kamal,Awad,,KINE,5300,001,16,16,0,0,0,0,0,0,0,0,0,32
2023 - 2024,2024 Fall,UGRD,UGRD,Jose,Ayala-Rodriguez,,MAS,2300,001,26,0,0,0,0,0,0,0,0,0,0,26
